ESTABLISHMENT_ID,ESTABLISHMENT_NAME,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_NEIGHBORHOOD
10449401,COOKIEGRAMS,81 BRISBANE RD,Mount Olive-Silverstone-Jamestown
9016790,TUMPANE CHILD CARE CENTRE,48 TUMPANE ST,Corso Italia-Davenport
10616982,MO'S GOLDEN PRETZEL,4841 YONGE ST,Casa Loma
9007819,JOE'S GARDEN CENTRE & GRAPES,1921 DAVENPORT RD,Weston-Pellam Park
10578318,THE GREATER GOOD,229 GEARY AVE,Danforth
10416711,PITA PURE HOUSE,717 BAY ST,Wychwood
10555588,CHENG DU DELICACY,10 NORTHTOWN WAY,Casa Loma
9066012,MCDONALD'S,165 NORTH QUEEN ST,Markland Wood
10647954,SLATE RESTAURANT,2237 QUEEN ST E,Willowridge-Martingrove-Richview
10244661,WINDIES RESTAURANT & SPORTS BAR,3330 LAWRENCE AVE E,Beechborough-Greenbrook
10420207,FAHRENHEIT COFFEE,120 LOMBARD ST,Pelmo Park-Humberlea
10577911,WESTWOOD PLACE BURGERS RESTAURANT,1391 WESTON RD,The Beaches
10561285,STARBUCKS,106 DANFORTH AVE,Keelesdale-Eglinton West
10474149,THE BAGEL STOP,40 KING ST W,Wychwood
10636600,LUCIANO'S NO FRILLS,243 ALBERTA AVE,Bay Street Corridor
10633525,DEE THAI CUISINE,2013 YONGE ST,Forest Hill North
10559495,Alan's Filipino Restaurant,2655 LAWRENCE AVE E,Runnymede-Bloor West Village
10461782,PRAIRIE GIRL BAKERY,150 BLOOR ST W,Broadview North
10256555,THE DAKOTA TAVERN,249 OSSINGTON AVE,Lansing-Westgate
9013676,SEASON PRODUCE INC.,71 CROCKFORD BLVD,Waterfront Communities-The Island
10420579,ACTIONLITE RESTAURANT,971 OSSINGTON AVE,Danforth
10626491,HOTEL X - PANTRY KITCHEN 2ND FLOOR,111 PRINCES BLVD,North Riverdale
9001558,BAY MILLS EARLY LEARNING CHILD CARE CENTRE,365 BAY MILLS BLVD,Kingsview Village-The Westway
9011016,NOCE,875 QUEEN ST W,North Riverdale
10514413,TREATS,30 ISABELLA ST,Pelmo Park-Humberlea
10635278,MONICA BAR,881 BLOOR ST W,Oakwood Village
9011171,O S S T F CAFETERIA,60 MOBILE,Bedford Park-Nortown
10344845,BALSAMICO,2029 YONGE ST,Forest Hill North
10587270,WHALE JUICE & BLENDS,4750 YONGE ST,Thistletown-Beaumond Heights
10607289,HARBOUR CASTLE - FRONTENAC,1 HARBOUR SQ,St.Andrew-Windfields
9031385,SNACKS FOR SCHOOL SUCCESS EATONVILLE JR PUBLIC SCHOOL,15 ROSSBURN DR,Clanton Park
10569598,El Pulgarcito,20 NUGGET AVE,Trinity-Bellwoods
